row_id;knee_angle;group;gender;task;normalization_type;units;mean;ci_low;ci_high;subjects;studies;source_page
1;Extended;Athletes;MALE;Extension;body_mass_normalized;Nm/kg;1,872;1,584;2,160;543;25;1
1;Extended;Athletes;MALE;Extension;non_normalized;Nm;137,9;121,3;154,5;282;20;1
2;Extended;Athletes;MALE;Flexion;body_mass_normalized;Nm/kg;1,535;1,182;1,888;292;4;1
2;Extended;Athletes;MALE;Flexion;non_normalized;Nm;169,7;107,9;231,4;47;3;1
3;Extended;Adults;BOTH;Extension;body_mass_normalized;Nm/kg;1,613;1,293;1,934;423;18;1
3;Extended;Adults;BOTH;Extension;non_normalized;Nm;116,0;98,3;133,8;397;17;1
4;Extended;Adults;MALE;Extension;body_mass_normalized;Nm/kg;1,788;1,345;2,232;286;10;1
4;Extended;Adults;MALE;Extension;non_normalized;Nm;139,5;97,4;181,7;223;6;1
5;Extended;Adults;FEMALE;Extension;body_mass_normalized;Nm/kg;1,258;1,013;1,502;95;5;1
5;Extended;Adults;FEMALE;Extension;non_normalized;Nm;82,0;69,4;94,6;105;6;1
6;Extended;Adults;BOTH;Flexion;body_mass_normalized;Nm/kg;1,052;0,916;1,188;183;11;1
6;Extended;Adults;BOTH;Flexion;non_normalized;Nm;81,4;74,1;88,8;201;12;1
7;Extended;Adults;MALE;Flexion;body_mass_normalized;Nm/kg;1,025;0,853;1,197;99;5;1
7;Extended;Adults;MALE;Flexion;non_normalized;Nm;84,5;69,3;99,8;117;6;1
8;Extended;Adults;FEMALE;Flexion;body_mass_normalized;Nm/kg;0,996;0,779;1,212;82;5;1
8;Extended;Adults;FEMALE;Flexion;non_normalized;Nm;68,7;65,5;71,9;68;4;1
9;Extended;Elderly;BOTH;Extension;body_mass_normalized;Nm/kg;1,041;0,842;1,240;213;15;1
9;Extended;Elderly;BOTH;Extension;non_normalized;Nm;70,1;51,8;88,4;220;11;1
10;Extended;Elderly;MALE;Extension;body_mass_normalized;Nm/kg;1,158;0,948;1,367;132;9;1
10;Extended;Elderly;MALE;Extension;non_normalized;Nm;64,1;52,0;76,3;42;3;1
11;Extended;Elderly;FEMALE;Extension;body_mass_normalized;Nm/kg;0,624;0,180;1,068;40;3;1
11;Extended;Elderly;FEMALE;Extension;non_normalized;Nm;42,7;38,3;47,0;40;3;1
12;Extended;Elderly;BOTH;Flexion;body_mass_normalized;Nm/kg;0,860;0,651;1,068;112;9;1
12;Extended;Elderly;BOTH;Flexion;non_normalized;Nm;64,0;51,9;76,0;209;11;1
13;Extended;Elderly;MALE;Flexion;body_mass_normalized;Nm/kg;0,895;0,592;1,197;42;3;1
13;Extended;Elderly;MALE;Flexion;non_normalized;Nm;74,6;67,1;82,2;42;3;1
14;Extended;Elderly;FEMALE;Flexion;body_mass_normalized;Nm/kg;0,579;0,057;1,102;60;5;1
14;Extended;Elderly;FEMALE;Flexion;non_normalized;Nm;59,4;42,4;76,4;70;6;1
15;Mid-range;Athletes;BOTH;Extension;body_mass_normalized;Nm/kg;3,110;2,879;3,341;806;51;1
15;Mid-range;Athletes;BOTH;Extension;non_normalized;Nm;237,5;224,3;250,8;729;43;1
16;Mid-range;Athletes;MALE;Extension;body_mass_normalized;Nm/kg;3,163;2,897;3,429;455;34;1
16;Mid-range;Athletes;MALE;Extension;non_normalized;Nm;251,4;234,0;268,7;404;31;1
17;Mid-range;Athletes;FEMALE;Extension;body_mass_normalized;Nm/kg;3,092;2,877;3,286;81;5;1
17;Mid-range;Athletes;FEMALE;Extension;non_normalized;Nm;199,8;170,4;229,1;20;2;1
18;Mid-range;Athletes;BOTH;Flexion;body_mass_normalized;Nm/kg;1,530;1,396;1,664;258;13;1
18;Mid-range;Athletes;BOTH;Flexion;non_normalized;Nm;134,2;110,9;157,5;258;11;1
19;Mid-range;Athletes;MALE;Flexion;body_mass_normalized;Nm/kg;1,637;1,364;1,910;105;7;1
19;Mid-range;Athletes;MALE;Flexion;non_normalized;Nm;154,5;137,1;172,0;142;7;1
20;Mid-range;Athletes;FEMALE;Flexion;body_mass_normalized;Nm/kg;1,554;1,497;1,611;61;3;1
20;Mid-range;Athletes;FEMALE;Flexion;non_normalized;Nm;;;;;;1
21;Mid-range;Adults;BOTH;Extension;body_mass_normalized;Nm/kg;2,680;2,390;2,970;1839;44;1
21;Mid-range;Adults;BOTH;Extension;non_normalized;Nm;191,0;176,3;205,8;1928;46;1
22;Mid-range;Adults;MALE;Extension;body_mass_normalized;Nm/kg;3,187;2,921;3,452;937;15;1
22;Mid-range;Adults;MALE;Extension;non_normalized;Nm;234,5;204,1;264,8;940;15;1
23;Mid-range;Adults;FEMALE;Extension;body_mass_normalized;Nm/kg;2,377;2,018;2,736;707;15;1
23;Mid-range;Adults;FEMALE;Extension;non_normalized;Nm;150,8;133,1;168,5;701;13;1
24;Mid-range;Adults;BOTH;Flexion;body_mass_normalized;Nm/kg;1,233;1,026;1,440;933;13;1
